Designator,Footprint,Quantity,Value,LCSC Part #
J1,FPC-SMD_KH-FG0.5-H2.0-22PIN,1,Conn_01x22,C2797212
J2,FPC-SMD_KH-FG0.5-H2.0-12PIN,1,Conn_01x12,C709366
